map_number,location_name,thumbnail_url,place_desc
16,Annual Garden,http://queensbotanical.org/wp-content/uploads/2015/11/Annual-Garden_David-Stein-300x200.jpg,"Specially selected for their long-lasting color, the flowers in the Annual Beds mix with roses that provide beauty spring through fall.  Secluded benches offer a quiet place to enjoy the scene."
17,Bee Garden,http://queensbotanical.org/wp-content/uploads/2015/11/Bee-Garden_H.-David-Stein-300x200.jpg,"A collection of plants and trees that attract bees or flavor honey. The beehives house Apis mellifera, commonly called Italian Honeybees. This teaching garden is popular with education classes."
18,Wedding Garden,http://queensbotanical.org/wp-content/uploads/2015/11/Wedding-Garden_Ebony-Wiggins-300x200.jpg,"The Wedding GA19:D20arden features colorful flower beds filled with blooms from March through November as well as striking fall foliage displays. Modeled as a Victorian-style garden with a gazebo, footbridge, and stream, the Wedding Garden has been a beautiful backdrop for many brides and grooms on their happy day. "
19,Cleansing Biotope,https://queensbotanical.org/wp-content/uploads/2019/02/2018.6.26_CREDIT-Jess-Brey095.png,"Planted depressions that collect storm water that runs off surrounding areas. The plant species in bioswales are selected for their ability to tolerate both wet and dry conditions. Rainwater that falls on or flows into a bioswale is retained in the soil (a special soil mixture is used to maximize retention), evaporated, absorbed by plants, and allowed to infiltrate back into the water table."
20,Herb Garden,http://queensbotanical.org/wp-content/uploads/2015/11/Herb-Garden_H.-David-Stein-300x200.jpg,"A collection of woody, annual, and perennial plants grouped by use: aromatic, culinary, medicinal, and plants for dye. Throughout history, people have relied on herbs for cooking, healing, and fragrance, and have used them in sacred cultural ceremonies and traditions.  Renovations increased the total size of the Herb Garden by 50% to include herbs significant in Asian culture, herbs used by Native Americans, and a lavender collection."
21,Education Building,https://queensbotanical.org/wp-content/uploads/2019/06/Mural_1.jpg,
22,Children's Garden,http://queensbotanical.org/wp-content/uploads/2015/11/Childrens-Garden-_Anne-Tan-Detchkov-300x199.jpg,"Children from all around New York City come to enjoy seasonal, hands-on learning and gardening experiences year-round."
23,Arboretum,http://queensbotanical.org/wp-content/uploads/2015/11/Arboretum_CREDIT-Jess-Brey-300x201.jpg,"Spot beautiful full-grown trees such as Fragrant Winter hazel (Corylopsis glabrescens), Weeping Honeylocust (Gleditsia triacanthos var. inermis 'Bujotii'), Southern Magnolia (Magnolia grandiflora), and more at the Arboretum!"
24,Classroom Annex,https://queensbotanical.org/wp-content/uploads/2015/12/Double-Petal-Snowdrop-Copy-300x200.jpg,
26,Meadow,http://queensbotanical.org/wp-content/uploads/2015/11/Meadow_H.-David-Stein-300x200.jpg,"Perennial wildflowers and grasses grow to mature height. Flowering throughout the growing season, they provide habitat for birds, butterflies, and beneficial insects as planters of seed and pollinators, and allow biodiversity to continue in Queens."
25,NYC Compost Project Demostration Site,https://queensbotanical.org/wp-content/uploads/2021/01/Corp-Vols_Compost-2048x1363.jpg,"The NYC Compost Project (NYCCP) hosted by Queens Botanical Garden helps to reduce waste in NYC and rebuild City soils by giving New Yorkers the knowledge, skills, and opportunities they need to produce and use compost locally. The NYC Compost Project programs are carried out by staff funded by the New York City Council and managed by Department of Sanitation’s Bureau of Recycling and Sustainability. NYC Compost Project programs are implemented by DSNY-funded teams at seven host organizations, including Brooklyn Botanic Garden, Big Reuse, Earth Matter NY, Lower East Side Ecology Center, Queens Botanical Garden, Snug Harbor Cultural Center & Botanical Garden, and The New York Botanical Garden.

The NYC Compost Project, hosted by Queens Botanical Garden offers compost-related educational opportunities, technical composting support, distribute compost, and processes over 4,500 lbs of food waste generated in Queens, NY. We are currently working on supporting communities to open neighborhood-based public food scrap drop off sites ensuring food scraps are composted locally."
28,Parking Garden,http://queensbotanical.org/wp-content/uploads/2015/11/Parking-Garden-300x200.jpg,"Part of th e Sustainable Landscapes and Buildings Project, furthering the environmental vision outlined in our Master Plan.
Demonstrating a more environmentally-sensitive method of managing storm water onsite, the Parking Garden will help keep our city's rivers and bays clean by easing the burden on the city's sewer system, while offering visitors comfortable and inspiring gardens.  Like other features of QBG, the Parking Garden showcases sustainable practices in design."
27,Parking Garden Gate,https://media-cdn.tripadvisor.com/media/photo-s/09/b8/a5/93/queens-botanical-garden.jpg,
29,Deciduous Conifer,https://queensbotanical.org/wp-content/uploads/2015/12/2019.10.28-Squirrel-at-QBG_CREDIT-Anne-Tan-Detchkov-300x200.jpg,This area host a number of Deciduous Conifer trees.
30,Farm,http://queensbotanical.org/wp-content/uploads/2015/11/Farm-and-Compost-Site-300x225.jpg,"The QBG Farm and Compost Site is an exciting partnership between QBG and the NYC Compost Project which is funded and managed by the NYC Department of Sanitation’s Bureau of Recycling and Sustainability. Founded in 2013, QBG Farm is an on-site program that demonstrates the link between sustainable farming and food waste recycling (composting) in the heart of Queens."
