plant_id,plant_species_name,common_name,plant_desc
14,Petasites japonicus 'Variegata',Butterbur,"A shrub that grows in Europe and parts of Asia and North America. The name, butterbur, is attributed to the traditional use of its large leaves to wrap butter in warm weather. These leaves have an umbrella-like shape. Fragrant, yellowish-white, daisy-like flowers in dense corymbs appear in spring before the leaves emerge on rigid scapes. The leaf stalks (petioles) are eaten as a vegetable (fuki) in Japan."
15,Asclepias tuberosa,Butterfly Weed,"Asclepias tuberosa, commonly called butterfly weed, is a tuberous rooted. Flowers give way to prominent, spindle-shaped seed pods which split open when ripe releasing numerous silky-tailed seeds for dispersal by the wind. Long bloom period from late spring throughout the summer. Flowers are a nectar source for many butterflies and leaves are a food source for monarch butterfly larvae (caterpillars)."
16,Canna,Canna,"Cannas have paddle-shaped leaves and sheathing leafstalks in shades of green or bronze. Their flowers come in many bright colors—red, orange, yellow, and pink. "
17,Cynara cardunculus,Cardoon,"Cynara cardunculus, commonly called cardoon, is a vigorous, columnar, upright, tender perennial that features prickly, razor-sharp, jagged, deeply-lobed, silver-gray leaves and thistle-like flowers. It is native to Southern Europe along the Mediterranean. It is an edible vegetable but it is not typically grown in the US for consumption. It is often grown as an ornament in gardens. Its flowers are blue violet and they bloom from August to September in cold winter climates."
115,Dianthus Gratianopolitanus 'Grandiflora',Carnation,"Dianthus Gratianopolitanus 'Grandiflora' (Cheddar Pink) is an evergreen perennial which produces abundant, richly scented, rose to pink small flowers with fringed petals atop wiry stems. They bloom in late Spring with some sporadic rebloom in Summer. "
18,Kalopanax septemlobus,Castor Aralia ,"Kalopanax septemlobus, commonly called castor aralia or tree aralia, is the only large tree found in the aralia family. Trunk, branches and particularly the younger stems are armed with spines. These spines disappear from the trunk and larger branches as the tree matures. Tiny white flowers appear profusely in large, terminal, umbel-like panicles in late summer. Tiny black fruits in compound clusters ripen in fall and are attractive to birds. "
19,Ricinus communis 'Red Giant',Castor Bean,"Castor bean (Ricinus communis) is a tender perennial native to eastern Africa, the Mediterranean region and India. It produces seeds that look like beans, hence its name Castor Bean. Pale creamy yellow flowers are really small and are the precursor for clutsters of spiny seedpods. Its seeds, if broken, are very poisonous to humans. "
20,Cedrus libani,Cedar of Lebanon ,"Cedrus libani, commonly called Cedar of Lebanon, is an evergreen conifer native to mountains near the Mediterranean in Turkey, Syria and Lebanon. This tree is the national emblem of Lebanon. It appears in the center of the flag of Lebanon."
21,Hamamelis x intermedia 'Wisely Supreme',Chinese witch hazel ,"‘Wisley Supreme' is a cultivar that originated at RHS's Wisley Garden near London. Golden yellow, spidery flowers with strap-like petals appear in January and can last well into March. Summer leaves of H. mollis are light green, turning a lovely buttery yellow to orange in fall."
22,Salvia sclarea,Clary Sage,"Salvia sclarea, commonly called Europe sage or Clary sage, is a multi-branched biennial or short-lived perennial sage that typically grows to 3-4' tall. Clary sage forms a basal rosette of broad gray-green leaves (to 8” long) in the first year. Flowering stems appear in the second year rising to 3-4' tall topped by inflorescences of small, tubular, two-lipped, creamy white to lilac flowers subtended by papery, white to pinkish-purple bracts. Flowers bloom in summer. Flowers are sometimes used to make tea."
23,Clematis 'Crystal Fountain',Clematis,"Clematis 'Crystal Fountain' produces masses of stunning violet-blue, semi-doubled flowers, 4-5 in. across (10 - 12cm), adorned with a fountain-like center packed with silvery-mauve petaloid stamens. Flowering comes in two waves: first in late spring to early summer, then in late summer to early fall. "
24,Aquilegia caerulea,Columbine,"Aquilegia caerulea, commonly called Rocky Mountain columbine, is a bushy, clump-forming perennial which occurs in the U.S. Rocky Mountains at elevations of 6000 to 12000' from Montana south to New Mexico.  Blooms in spring. Compound, biternate, almost fern-like, medium green leaves with lobed and deeply-cleft leaflets."
25,Crocus,Common Crocus,"Crocus is a genus comprising about 90 species of perennial, early spring blooming corms. The flowers bloom in early spring, typically closing at night or on cloudy days and opening up with the morning sun, with many popular hybrids available."
26,Humulus lupulus,Common Hop,"Humulus lupulus, commonly known as common hop, is a dioecious, rhizomatous, twining perennial vine that is grown commercially for harvest of female fruits which are used by breweries to preserve and flavor beer. It is native to Europe, southwestern Asia, North America. Yellow-green male flowers bloom in catkins. Female flowers and subsequent seeds are born in cone-like structures (strobiles). Flowers emit a pine-like fragrance and are attractive to butterflies."
27,Syringa vulgaris,Common Lilac,"Syringa vulgaris, commonly known as common lilac, is an upright, multi-stemmed, suckering, deciduous shrub in the olive family that typically matures to 12-16' (20') tall with a spread to 8-12' (15') wide. It is particularly noted for its mid to late spring (May) bloom of very fragrant, tubular, 4-lobed, lilac to purple flowers (each to 1/3” long) which bloom in large conical to narrow-pyramidal panicles (to 6-8” long). Flowers give way to loose clusters of smooth, brown, flattened, dehiscent seed capsules (each to 3/ 4” long) which persist into winter if not removed."
28,Hamamelis virginiana,Common Witch Hazel,"Hamamelis virginiana, known as common witch hazel, is a fall-blooming, deciduous shrub or small tree that is native to woodlands, forest margins and stream banks in eastern North America. Flowers with four crinkly, ribbon-shaped petals appear along the branches from October to December. Fertilized flowers will also produce greenish fruits that mature to light brown."
29,Salix alba 'Britzensis',Coral Bark Willow ,"Native to Europe, central Asia and northern Africa. It was brought to the U.S. in the 1700s by European settlers and has since escaped and naturalized in many parts of North America. 'Britzensis' is an all-male cultivar which is most noted for the fact that its new growth stems turn red to orange-red in winter."
30,Malus sp.,Crabapple,"Their flowers range from white, to pink, to bright red. Some also produce fruits that attract birds such as blue jays, cardinals, cedar waxwings, and red-headed woodpecker."
31,Rosa 'Apricot Veranda',Cream Veranda,Rosa 'Apricot Veranda' is a type of rose with a moderately strong fragrance. Blooms in mid-spring to mid-fall. It has a creamy color with an apricot center. They are very disease tolerant and performs well in hot climates. 
32,Silphium perfoliatum,Cup Plant,"Silphium perfoliatum, commonly called cup plant, is a coarse, sunflower-like, Missouri native plant. It typically grows on tough, erect stems to 4-8' tall and is distinguished from the other silphiums by its square/quadrangular stems and pairs of cup-forming leaves. Flower heads (to 3"" diameter) featuring light yellow rays (20-40) and darker yellow center disks bloom in summer on the upper part of the plant. This species is also commonly called cup rosin weed because its stems (like those of all silphiums) exude a gummy sap when broken or cut.)"
37,Fothergilla gardenii,Dwarf fothergilla,"Fothergilla gardenii, commonly known as dwarf fothergilla or coastal fothergilla, is a slow-growing, deciduous, dwarf ornamental shrub that is native to moist lowland coastal plain bogs and savannahs in the southeastern U.S. from North Carolina to the Florida panhandle and Alabama. Apetalous flowers in dense terminal bottlebrush-like spikes (1-2"" long) bloom in spring (April-early May) before the leaves appear. Only the male flowers have color (showy white filaments and yellow anthers). Flowers are aromatic. Leaves turn often brilliant shades of yellow, orange and red in fall. Fruit is an ornamentally insignificant, two-seeded, beaked capsule that matures in fall."
33,Cercis canadensis,Eastern Redbud,"Cercis canadensis, commonly called eastern redbud, is a deciduous, often multi-trunked understory tree with a rounded crown that typically matures to 20-30' tall with a slightly larger spread. It is particularly noted for its stunning pea-like rose-purple flowers which bloom profusely on bare branches in early spring (March-April) before the foliage emerges. This tree is native to eastern and central North America from Connecticut to New York to southern Ontario and the Great Lakes south to Western Texas and Florida. "
34,Carpinus betulus 'Globosa',European hornbeam,"A hornbeam native to Western Asia and central, eastern, and southern Europe, including southern England. The flowers bloom in April and ribbed nutlets are borne at the base of a leafy bract."
35,Cornus florida f. rubra,Flowering dogwood,"Cornus florida, commonly known as flowering dogwood, is a small deciduous tree that typically grows 15-30' tall with a low-branching, broadly-pyramidal but somewhat flat-topped habit. It is native from Maine to southern Ontario to Illinois to Kansas south to Florida, Texas and Mexico. It is the state tree of Missouri and Virginia. It blooms in early spring (April) shortly after, but usually overlapping, the bloom period of the redbuds. Bright red fruits are bitter and inedible to humans but are loved by birds. Fruits mature in late summer to early fall and may persist until late in the year."
36,Chaenomeles speciosa,Flowering Quince,"Chaenomeles speciosa, commonly called flowering quince, is a dense, broad-rounded, deciduous shrub with often-tangled, spiny, gray-brown twigs. It typically grows to 6-10' tall and as wide. It is native to China, Tibet and Myanmar (Burma). Scarlet to red (less frequently pink or white) five-petaled flowers (to 2” diameter) bloom before the leaves fully unfold in an often showy early spring bloom (late March - April). Flowers are followed by hard, dot-speckled, edible, yellowish-green fruits (2.5” quinces) that are rather bitter when eaten fresh from the shrub, but quite tasty in preserves and jellies."
38,Chionanthus virginicus,Fringe Tree,"Chionanthus virginicus, commonly called fringetree, is a deciduous, Missouri native shrub or small tree with a spreading, rounded habit that typically grows 12-20' tall (to 35' in the wild, however) and most often occurs in rich, moist woods and hillsides, moist stream banks, limestone glade margins and rocky bluffs and ledges. Common name refers to the slightly fragrant, spring-blooming flowers which feature airy, terminal, drooping clusters (4-6"" long) of fringe-like, creamy white petals. Male flowers are showier than female flowers. Fertilized perfect or female flowers give way to clusters of olive-like fruits which ripen to a dark, bluish black in late summer and are a food source for birds and wildlife. "
39,Gaura lindheimeri 'Whirling Butterflies',Gaura,"Gaura lindheimeri, commonly called gaura, is a herbaceous clump-forming perennial that is native to Texas and Louisiana. Pinkish buds along wiry, erect, wand-like stems open to white flowers which slowly fade to pink. Flowers appear in long, open, terminal panicles and open only a few at a time. The genus name Gaura comes from the Greek gauros meaning ""superb"" in reference to the beautiful flowers."
40,Gomphrena globosa,Globe Amaranth,"Gomphrena globosa, commonly called globe amaranth, is native to central America and northern South America. The true flowers are insignificant, tiny, white to yellow trumpets. It is the bright colored bracts arranged in globose, papery-textured, clover-like flowerheads that attract attention."
41,Chionodoxa forbesii,Glory of the Snow ,"Chionodoxa forbseii, commonly called glory-of-the-snow, is a bulbous perennial that is native to mountainsides in southwestern Turkey. Each bulb produces 2-3 narrow, basal leaves and an upright flower stalk (to 6-12” tall) which is topped in very early spring by a loose raceme of 4-10 star-like, upward facing, six-petaled, soft violet-blue flowers with white centers. It is among the first bulbs to bloom in the spring, often poking its flowering stalks up through melting snows, hence its common name of glory-of-the-snow."
42,Koelreuteria paniculata,Golden Rain Tree,"Koelreuteria paniculata, commonly called golden raintree, is a small, open-branching, irregularly-shaped, deciduous tree. Leaves emerge pinkish bronze to purplish in spring. They mature to a bright green in summer and turn yellow in fall. Bright yellow flowers appear in early summer in long, terminal, panicles. "
43,Muscari armeniacum,Grape Hyacinth,"Muscari armeniacum, commonly called grape hyacinth, is an early spring-blooming bulbous perennial that is native to southeastern Europe (including Armenia). It features conical racemes of slightly fragrant, tightly packed, deep violet blue, urn-shaped flowers atop scapes rising to 8” tall in early spring. Each flower has a thin white line around the rim. Dense inflorescence purportedly resembles an elongated, upside-down bunch of grapes, hence the common name"
46,Thujopsis dolabrata 'Variegata',Hiba,"Thujopsis dolobrata is native to central Japan, and was introduced into America back in 1861. Has rather thick, widely branched foliage which somewhat resembles elk horns when larger. Has creamy white variegation that is fairly stable."
44,Hibiscus 'Lord Baltimore',Hibiscus Lord Baltimore,"‘Lord Baltimore' is a vigorous, sturdy, erect but somewhat shrubby, woody-based hibiscus cultivar. Features crimson red flowers with ruffled, slightly overlapping petals."
45,Hibiscus moscheutos 'Summer Storm',Hibiscus Summer Storm,"‘Summer Storm' is a vigorous, sturdy, rounded, somewhat shrubby, woody-based hibiscus.  It is a cross between Hibiscus 'Kopper King' (female parent) and 'Hibiscus 'Fireball' (male parent). It is particularly noted for its production of large pink-blushed flowers (to 8"" diameter) over a long 12 week bloom period (July - September) on stems clad with deeply lobed, dark burgundy, palmate leaves. It is attractive to hummingbirds. It dies back completely to the ground in winter. "
47,Chasmanthium Latifolium,Indian woodoats,"Chasmanthium latifolium, commonly known as Indian Woodoats, is native to Missouri. It produces a multitude of beautiful pale green seed heads in midsummer. The seed heads turn purplish bronze by late summer. The bright green leaves turn a coppery color after frost and eventually brown by winter."
48,Arum italicum,Italian Arum,"Italian arum is a perennial, herbaceous plant that grows from tubers. They are native to Europe. Flowers emerge and bloom in late April to June. They are made out of spathe and spadix. Flowers also give off a displeasing odor. The spadix develop into bright orange-red berries in the summer after the leaves and spathe die. "
49,Callicarpa japonica,Japanese Beautyberry ,"Callicarpa japonica, commonly called Japanese Beautyberry, is a rounded, deciduous shrub with slender, upright-arching branches. It is native to China, Japan, and Korea. Clusters of small, pink to white flowers bloom in June. Flowers are then followed by large clusters of bright, glossy, violet to purple fruits which ripen in late summer. The fruits may persist after the leaves have fallen but they will not last very far into winter. The flowers are attractive to birds and butterflies. The fruits are also attractive to birds. "
50,Euonymus japonicus,Japanese Euonymus,"Euonymus japonicus, commonly called Japanese euonymus, is a dense oval evergreen shrub of the spindle tree family. It is native to Japan, Korea, and China. Flowers are greenish white and bloom in early summer. Flowers are followed by pinkish-red fruit in late summer or early fall. "
51,Styphnolobium Japonicum,Japanese Pagoda Tree,"Styphnolobium japonicum, commonly called Japanese pagoda tree, is not native to Japan. It is native to China and Korea. Small, fragrant, pea-like, creamy white flowers bloom in late summer in sweeping terminal panicles and fall to the ground around the tree after blooming. Was formerly known as Sophora japonica."
52,Prunus serrulata 'Sekiyama',Kanzan Flowering Cherry,"‘Kanzan' (synonymous with ‘Kwanzan' and ‘Sekiyama') is a double flowered Japanese flowering cherry that is noted for its profuse and showy spring bloom. It is considered to be one of the most ornamental of the flowering cherries. It typically grows 25-30' tall and to 25-30' wide with a vase shape, ascending branching and a spreading-rounded crown. Deep pink double flowers (to 2.5” diameter), each with 20-30 petals, bloom in pendant clusters of 2-5 in April. Flowers bloom just before and as the leaves emerge. "
53,Viburnum carlesii,Korean Spice viburnum ,"Viburnum carlesii commonly called Koreanspice viburnum is a slow-growing, upright, rounded, deciduous shrub which typically matures to 4-5' tall but may reach a height of 8' in optimum growing conditions. Red buds open in late March/early April to pink-changing-to-white flowers which are arranged in snowball-like clusters (hemispherical cymes) to 3"" across. Flowers are very fragrant. Flowers give way to non-showy, berry-like drupes which mature to blue-black in late summer."
54,Pinus bungeana,Lacebark pine,"Most ornamental feature is its exfoliating bark which peels, somewhat like a sycamore, to reveal an underlying patchwork of white, olive, light purple and silver, eventually becoming milky white at maturity. However, it takes at least 10 years before the bark begins to exfoliate and longer before the signature milky white bark fully develops.`"
55,Lantana camara,Lantana,"Lantana camara, commonly called lantana or shrub verbena, is native to Central and South America. It is considered to be a noxious weed in many frost-free/tropical areas where it can rapidly spread to form dense thickets. Tiny 5-lobed flowers in dense hemispherical clusters bloom from Summer to Fall. Flower colors include white, yellow, orange, red and purple, often mixed in the same cluster. Flowers are also attractive to butterflies. The leaves are aromatic when bruised. "
56,Camassia leichtlinii,Large Camas,"Camassia leichtlinii, sometimes called Leichtlin's camass, is a spring-flowering bulbous perennial that typically grows on moist slopes and moist mountain meadows west of the Cascades and Sierras from British Columbia to southern California. Each flower has six showy petal-like tepals. Flowers in this species may be white, cream, blue or purple, all with attractive yellow anthers."
57,Lavandula,Lavender,"Lavender is a bushy, strong-scented perennial plant from the Mediterranean. It is used for culinary purposes and medicinal purposes. Contrary to the name, not all lavenders are purple. Some hybrids come in other lovely pastel hues such as violet blue, rose, pale pink, white, and even yellow. The leaves can also vary in shape and color."
58,Mahonia bealei,Leatherleaf Mahonia,"An evergreen shrub native to western China. It was introduced into the southeastern U.S. where it has escaped gardens and naturalized from Maryland and Virginia south to Alabama and Florida. Fragrant yellow flowers in loose, spreading to pendant racemes (each to 3-6” long), bloom in late winter to early spring (February- April). Flowers are followed by ornamentally attractive, waxy green fruits which hang in grape-like clusters and mature to blue-black in late spring to early summer. Fruits are attractive to birds. "
59,Salvia leucantha,Mexican Bush Sage,"Salvia leucantha, commonly called Mexican bush sage, is an evergreen shrubby perennial that is native to Central America and Mexico. Produces a late summer to frost bloom of showy bicolor flowers consisting of white corollas and longer-lasting funnel-form purple calyces. The flowers are attractive to butterflies and hummingbirds. "
60,Aconitum carmichaelii,Monkshood,"Aconitum carmichaelii, commonly called Monkshood, is an erect, tuberous perennial with dense spires of rich azure-blue flowers in early to mid fall. They are native to central China. It is called Monkshood because its hooded flowers resemble the hoods worn by medieval monks. The whole plant is highly toxic and skin contact can cause numbness. "
61,Chrysanthemum,Mums,"Chrysanthemum, commonly called Mums, come in shades of white, yellow, orange, lavender, purple, red; as well as bicolor flowers. It was used for medicinal purposes in Ancient China. Boiled roots were used as a headache remedy, petals were eaten in salads, and the leaves were brewed for a festive drink. In certain countries such as Belguim, it is used exclusively for memorials and graves which has caused it to earn the name ""death flower""."
62,Nandina domestica,Nandina,"A broadleaf evergreen shrub that is ornamentally grown for its interesting foliage and its often spectacular fruit display. It is commonly called heavenly bamboo because its erect, cane-like stems and compound leaves resemble bamboo. Tiny whitish flowers with yellow anthers appear in late spring in loose, erect, terminal clusters. These are weedy and potentially invasive."
63,Aster novae-angliae,New England Aster,"Symphyotrichum novae-angliae, commonly called New England aster, is a Missouri native perennial which occurs in moist prairies, meadows, thickets, low valleys and stream banks throughout the State. Flowers bloom from late summer to early fall. The flowers have rose-purple rays and orange-yellow centers. Attractive to birds and butterflies. "
64,Vernonia noverboracensis,New York Ironweed,"Vernonia noveboracensis, commonly called ironweed or New York ironweed, is a tall, coarse, upright perennial which is commonly found in wet open bottomland fields. It blooms late in the summer and lasts into the fall. It is called Ironweed because of its iron-like plant qualities such as the tough stems. The flowers range from deep lavender to violet. "
65,Physostegia virginiana,Obedient Plant,"Physostegia virginiana, commonly called obedient plant, is a rhizomatous perennial that is native to North America from Quebec to Manitoba south to Florida and New Mexico. Tubular, two-lipped, snapdragon-like, pink to pale lilac flowers in upright terminal spikes bloom throughout summer (late June-September) atop square stems rising to 2-4' tall. Flowers bloom bottom to top on each spike, with each flower being  subtended by a small leaf-like bract. "
66,Rudbeckia fulgida,Orange Coneflower,"Rudbeckia fulgida is a Missouri native which occurs in both dry and moist soils in open woods, glades and thickets.  Features daisy-like flowers with yellow rays and brownish-purple center disks. Prolific bloom production over a long mid-summer to fall bloom period. Butterflies flock to the blooms and songbirds relish the seeds in sunny sites with average soil."
67,Lilium 'Casa Blanca',Oriental Lily,Casa Blanca' is a popular Oriental hybrid cultivar that features pure white flowers with contrasting reddish-brown anthers. Flowers bloom in mid-summer and are very fragrant .
68,Allium aflatunense 'Purple Sensation',Ornamental Onion,The genus Allium contains over 700 species of bulbous or rhizomatous plants. All possess oniony smelling flowers and foliage. Plants typically produce showy flower umbels on naked scapes rising above a clump of linear grass-like leaves. 'Purple Sensation' produces a 4-5 inch ball of vivid violet-purple flowers on 24-30 inch stalks.
69,Maclura pomifera,Osage Orange,"Maclura pomifera, commonly called osage orange, is native to river valleys and rich bottomlands in Arkansas, Oklahoma, Texas and Louisiana. It is dioecious. It typically grows to 35-60' tall but is also commonly grown as a hedgerow shrub at much lower heights. Cross-pollination occurs late in spring or early summer after the leaves have developed. This lasts for about 1-2 weeks. The male flowers soon wither away while the female flowers are transformed into globoid fruits (compound drupes) that become steadily larger in size during the summer. The fruit's texture resembles an orange and becomes greenish yellow at maturity. Despite having orange in its name, the fruit is actually a part of the fig family. "
70,Matteuccia struthiopteris,Ostrich fern,The vegetative fronds emerge at the narrow base of the clumps in spring and exhibit the feathery appearance of long ostrich plumes.
71,Hydrangea paniculata 'Limelight',Panicle Hydrangea,"Hydrangea paniculata, commonly called panicle hydrangea, is a vigorous, upright, rapid-growing, somewhat coarsely textured, deciduous shrub that is native to China and Japan. ‘Limelight' is a slightly more compact cultivar. It is noted for producing large, dense, upright, cone-shaped panicles of mostly sterile flowers that change color on the shrub as they mature. Flowers emerge creamy white, mature to chartreuse-lime and eventually acquire pink-darkening-to-rose tones before finally fading to beige"
72,Betula papyrifera,Paper birch,"Primarily native to the cold climates of Canada and Alaska. This tree is noted for its white bark, which exfoliates in papery strips to reveal an orange-brown inner bark. Mature trees develop black markings on the white bark. Its bark is commonly used for making birch bark canoes. Tiny monoecious flowers appear in early spring in separate catkins on the same tree. "
73,Acer griseum,Paperbark Maple,"Acer griseum, commonly called paperbark maple, is a small, deciduous, oval to oval-rounded tree with slender upright branching. It is native to China. The chestnut-brown bark of both its trunks and branches constantly peels into thin, tight curls, revealing brighter cinnamon-red wood beneath. Leaves are dark green but turn brilliant red and orange in the fall before shedding for the winter.  Yellowish flowers bloom in April-early May in clusters on pendulous downy stalks. Flowers give way to winged samaras with large seeds."
74,Edgeworthia chrysantha,Paperbush,"Edgeworthia chrysantha, commonly called paperbush or edgeworthia, is a deciduous suckering shrub that is native to woodland areas in the Himalayas and China. Flower buds begin to form in late summer each year, overwinter on the bare stems and burst into bloom from late February to early April before the new leaves emerge. Inner bark can be used to make quality paper as indicated by the common name of paperbush. Plants are widely cultivated in Japan for use in making the paper used in the production of Japanese banknotes."
75,Chamaecrista fasciculata,Partridge Pea,"Chamaecrista fasciculate or Partridge Pea is an annual flower that is native to a variety of habitats including rocky open woods, grasslands, and rocky fields. Large, showy, yellow flowers bloom from the upper leaf axils in short clusters from late June to September. Flowers give way to narrow, flattened, dehiscent seed pods. Each pod is initially green but matures to brown before splitting open on both sides in fall to explosively expel the seeds within. Seeds are regularly consumed by birds"
76,Philodendron selloum,Philodendron,"Philodendron selloum is native to the tropical regions of South America. It can produce aerial roots that absorbs water and nutrients. This plant is only toxic if eaten in large quantities. It causes intense burning and swelling of the lips, tongue, and throat making it difficult to speak. Nausea, vomiting, drooling, and diarrhea may also occur. Frequent contact with cell sap may cause skin irritation"
77,Quercus palustris,Pin Oak,"Quercus palustris commonly called pin oak is a medium sized deciduous oak of the red oak group that typically grows 50-70' tall with a broad pyramidal crown. This is a tree of lowlands and bottomlands that is primarily native to the Midwest and mid-Atlantic States. Monoecious yellowish-green flowers in separate male and female catkins appear in spring as the leaves emerge. Fruits are rounded acorns, with shallow, saucer-shaped acorn cups that barely cover the acorn base. "
78,Salvia elegans,Pineapple Sage,"Salvia elegans, commonly known as pineapple sage, is native to Mexico and Guatemala. Pineapple sage is noted for the pineapple aroma and taste of its foliage when crushed. Two-lipped bright scarlet red flowers, in loose whorls, bloom on terminal spikes to 8” long from late summer into fall. Flowers are attractive to hummingbirds and butterflies. "
79,Echinacea purpurea,Purple Coneflower ,"Echinacea purpurea, commonly called purple coneflower, is a coarse, rough-hairy, herbaceous perennial that is native to moist prairies, meadows and open woods of the central to southeastern United States.  Showy daisy-like purple coneflowers bloom throughout summer atop stiff stems clad with coarse, ovate to broad-lanceolate, dark green leaves. It is rich in nectar which attracts butterflies an hummingbirds. If its flowerheads are not removed in the fall, the blackened cones will be visited by birds that feed on the seeds. "
80,Aesculus x carnea 'Briotii',Red Horse Chesnut,"Aesculus × carnea, commonly called red horse chestnut, is the result of a cross between A. hippocastanum and A. pavia that was discovered in Europe in 1812. It is a small, oval to rounded, deciduous tree that grows 30-40' tall, and is perhaps best noted for its attractive red flowers. Very showy red flowers appear in upright terminal panicles in mid-spring. Flowers are followed by slightly prickly husky capsules, each typically containing two or three nuts. The nuts are poisonous."
81,Kniphofia 'Alkazar',Red Hot Poker,"Kniphofia 'Alcazar' gets its name from the Spanish translation of the Arabic word for castle. Bronze stems emerge which produces buds of a dark rosy terracotta, which age to a rich salmon-orange. Flowering from July through to October, these hardy perennials will attract butterflies and birds into the garden"
82,Acer rubrum,Red Maple,"Acer rubrum, commonly called red maple, is a medium-sized, deciduous tree that is native to Eastern North America from Quebec to Minnesota south to Florida and eastern Texas. It is named for its often red autumn leaf display. Fall foliage can also be yellow or greenish-yellow. Leaves vary from 3- to 5-lobed, with lobes separated by V-shaped angles"
1,Cornus sanguinea 'Winter Flame',Red-twig dogwood,Mostly known for it's red twigs which are brightest from late Winter to early Spring. Produces spring blossoms and variegated leaves during the Summer. The flowers are succeeded by berries that are white with hints of blue and green from Summer to Fall.
